,Wall time,Step,Value,goal_power,timestamp,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
1200,1714746113.9770746,11395,125.3358917236328,0.85,1714729306,78.41681334347736,29.05627296415663,6993.463613513348
1201,1714746172.5975776,11421,126.92741394042967,0.85,1714729306,79.01747850436965,29.373132013309537,7106.542793459829
1202,1714746260.4103005,11481,126.89045715332033,0.85,1714729306,79.6088398327019,29.669285223447602,7217.833865179071
1203,1714746377.0379314,11569,123.66444396972656,0.85,1714729306,80.1517688582861,29.886322529101637,7317.49832542561
1204,1714746435.342866,11593,121.69223022460938,0.85,1714729306,80.66251513069831,30.05487270801856,7409.736720705333
1205,1714746498.1825526,11636,121.52397918701172,0.85,1714729306,81.1637625892738,30.20874900378366,7500.1248740216015
1206,1714746545.668014,11657,121.88176727294922,0.85,1714729306,81.66212045634111,30.35728443654351,7590.266635787172
1207,1714746573.827285,11671,122.98613739013672,0.85,1714729306,82.16676543264784,30.51286850660741,7682.412486165285
1208,1714746616.5013683,11694,124.52483367919922,0.85,1714729306,82.68289651252621,30.682542846527877,7777.879811230138
1209,1714746671.4308994,11712,126.58585357666016,0.85,1714729306,83.2166856859989,30.874990598936943,7878.2818210467785
1210,1714746767.303373,11768,130.9040985107422,0.85,1714729306,83.79523899751388,31.13079890623277,7990.7687191907735
1211,1714746841.5687714,11798,131.12640380859375,0.85,1714729306,84.36824846450105,31.3744258934795,8102.355949113221
1212,1714746923.6650703,11830,131.0139923095703,0.85,1714729306,84.93177295753868,31.60050964843074,8211.998267751464
1213,1714746963.3757794,11853,130.97840881347656,0.85,1714729306,85.48690446605043,31.81135653986235,8319.973240093876
1214,1714747069.1789064,11934,130.6541748046875,0.85,1714729306,86.03031729516084,32.002876213215174,8425.399579824425
1215,1714747201.3956835,12036,130.62071228027344,0.85,1714729306,86.56570223710717,32.18098298128311,8529.236469445135
1216,1714747277.4069395,12085,130.8923797607422,0.85,1714729306,87.09685491274958,32.351318638296014,8632.46995332911
1217,1714747449.1619468,12205,130.80577087402344,0.85,1714729306,87.61956876767611,32.5084552702458,8733.988495091095
1218,1714747476.425446,12216,132.79132080078125,0.85,1714729306,88.15872045838938,32.68629800267869,8840.35406998036
1219,1714747533.8369849,12241,132.43060302734375,0.85,1714729306,88.68611085888827,32.84621716843512,8944.100241551023
1220,1714747637.0462413,12309,130.3646240234375,0.85,1714729306,89.18165989722898,32.96319668006388,9039.940797393596
1221,1714747782.0831356,12357,132.54222106933594,0.85,1714729306,89.69623570048576,33.10368477340959,9141.268644414366
1222,1714748045.7394664,12496,138.8099822998047,0.85,1714729306,90.27800031176845,33.33584884676692,9261.396158626156
1223,1714748081.5990102,12518,142.03477478027344,0.85,1714729306,90.88994306174024,33.60995782199098,9390.611014562395
1224,1714748196.9138796,12605,140.5920867919922,0.85,1714729306,91.47652343310033,33.8420108652035,9513.236038807105
1225,1714748346.7704115,12725,134.38711547851562,0.85,1714729306,91.9820396068889,33.960988249018094,9614.044333093225
1226,1714748390.69884,12751,134.1490478515625,0.85,1714729306,92.47791285992054,34.0670871779174,9712.73079571488
1227,1714748435.9581747,12765,134.00848388671875,0.85,1714729306,92.96544384365271,34.162328181620005,9809.638415836054
1228,1714748538.445212,12825,133.1876983642578,0.85,1714729306,93.43679666265139,34.23782224231457,9902.663442473993
1229,1714748615.0520833,12878,131.92774963378906,0.85,1714729306,93.88708694881235,34.28902027639603,9990.522007248948
1230,1714748706.5850945,12933,131.55850219726562,0.85,1714729306,94.32704248172594,34.32889910542568,10076.064257139828
1231,1714748750.0515916,12961,131.61253356933594,0.85,1714729306,94.76176110823224,34.36332139316821,10160.629225503848
1232,1714748814.9722352,12991,131.41253662109375,0.85,1714729306,95.18837163728526,34.38935406313049,10243.453767837282
1233,1714749097.3018565,13209,129.89134216308594,0.85,1714729306,95.5916486305533,34.39167002293532,10320.55025487363
1234,1714749156.0266926,13225,131.703125,0.85,1714729306,96.01061454891045,34.410693720666146,10402.133948396948
1235,1714749262.2536204,13308,134.92352294921875,0.85,1714729306,96.46136062355107,34.46462077567197,10492.604178557649
1236,1714749361.0004284,13368,132.64480590820312,0.85,1714729306,96.87982744939265,34.483575794306866,10574.8179661858
1237,1714749456.0847256,13419,131.0496368408203,0.85,1714729306,97.27438873622876,34.47867981013485,10651.08606545675
1238,1714749549.0716338,13470,132.55372619628906,0.85,1714729306,97.6811325623475,34.48666907229499,10730.934002364893
1239,1714749606.0091836,13499,132.2398681640625,0.85,1714729306,98.0789600269085,34.486199340488184,10808.780344911804
1240,1714749680.3954358,13541,130.64292907714844,0.85,1714729306,98.45325866996757,34.46352985744829,10880.779032970773
1241,1714749777.0365114,13610,127.22152709960938,0.85,1714729306,98.78343518427516,34.40252713411376,10941.700940019326
1242,1714749840.2929738,13645,127.10317993164062,0.85,1714729306,99.10798454963023,34.337960436313146,11001.48812841555
1243,1714749885.060872,13669,127.09413146972656,0.85,1714729306,99.42824318873923,34.27099169183097,11060.476415140618
1244,1714749925.1478348,13692,127.23297119140624,0.85,1714729306,99.74596714080174,34.203078263668544,11119.108523564535
1245,1714750032.0924551,13761,125.4779815673828,0.85,1714729306,100.0395872563566,34.11744962020308,11171.919387009282
1246,1714750178.8642995,13857,125.68883514404295,0.85,1714729306,100.33185065443514,34.03200218109259,11224.657428197768
1247,1714750234.4088717,13869,130.32830810546875,0.85,1714729306,100.67317283336251,33.9877544005577,11290.25517752871
1248,1714750299.773844,13897,130.193359375,0.85,1714729306,101.00861315663948,33.939296363171486,11354.61576945483
1249,1714750356.2205238,13930,129.61386108398438,0.85,1714729306,101.33321449820778,33.882530195939964,11416.446213018571
1250,1714750399.4892297,13954,129.6931915283203,0.85,1714729306,101.65459949679675,33.82406533626917,11477.724994726355
1251,1714750462.801814,14001,128.37953186035156,0.85,1714729306,101.95705263630109,33.75122302620495,11534.385638046098
1252,1714750633.8349462,14121,123.68927764892578,0.85,1714729306,102.20267842981022,33.63873294917025,11576.951832652789
1253,1714750695.7148917,14152,123.81195068359376,0.85,1714729306,102.4465968912037,33.52640054904832,11619.324748364015
1254,1714750783.926778,14189,123.90788269042967,0.85,1714729306,102.68853339366137,33.41404304581656,11661.433163208789
1255,1714750851.5761664,14232,123.77996826171876,0.85,1714729306,102.92599817690679,33.30007867806045,11702.656340677637
1256,1714750922.8332822,14267,127.29654693603516,0.85,1714729306,103.20003696402252,33.21227883303689,11753.303094659004
1257,1714751071.1768315,14347,133.0316162109375,0.85,1714729306,103.53506623775618,33.17523851102034,11820.106391119647
1258,1714751130.6361675,14380,136.1336212158203,0.85,1714729306,103.900720555479,33.16769805176786,11895.455926000981
1259,1714751225.423025,14431,137.66859436035156,0.85,1714729306,104.27903062998425,33.17329335825622,11974.583621362119
1260,1714751280.8576138,14462,139.32650756835938,0.85,1714729306,104.67120453877885,33.19359213429024,12057.875618376493
1261,1714751322.9069493,14476,140.01205444335938,0.85,1714729306,105.06619127817903,33.21708681423886,12142.279406127585
1262,1714751377.3737934,14497,140.2808380126953,0.85,1714729306,105.4593050135004,33.23878969317277,12226.482154197478
1263,1714751409.50491,14514,141.96998596191406,0.85,1714729306,105.86641323081135,33.275714108065394,12314.97059975861
1264,1714751480.7707934,14552,144.892578125,0.85,1714729306,106.30107004378375,33.34373702710685,12411.722291386275
1265,1714751640.241746,14665,140.14480590820312,0.85,1714729306,106.67757886136887,33.348174507368846,12492.2065746975
1266,1714751794.1176977,14785,133.82867431640625,0.85,1714729306,106.97929319284931,33.284825786142534,12552.448799655473
1267,1714751849.180512,14808,133.80970764160156,0.85,1714729306,107.27711268296241,33.21925756175532,12611.897978547251
1268,1714751902.0204034,14834,136.852783203125,0.85,1714729306,107.6050439613201,33.18011794773554,12679.765712943276
1269,1714751973.8777316,14860,140.01760864257812,0.85,1714729306,107.96403981992701,33.17063701498482,12756.525054218666
1270,1714752030.9919727,14890,140.15435791015625,0.85,1714729306,108.3201909585215,33.15888755973093,12832.77559348944
1271,1714752150.1456857,14967,138.80111694335938,0.85,1714729306,108.65707110389788,33.12950329906285,12903.923089720134
1272,1714752201.3023553,14992,139.08212280273438,0.85,1714729306,108.992980286563,33.09988651528215,12975.072239071667
1273,1714752254.9111457,15021,139.2074432373047,0.85,1714729306,109.32621770560726,33.068484760793794,13045.746562188688
1274,1714752343.745503,15072,139.05767822265625,0.85,1714729306,109.65379096140046,33.03263022426129,13115.10853173929
1275,1714752374.0738842,15089,141.02484130859375,0.85,1714729306,109.99907736915088,33.0137917773469,13189.70746958246
1276,1714752442.3751268,15126,147.33041381835938,0.85,1714729306,110.40955268913994,33.062989728086364,13283.430614775514
1277,1714752522.7079864,15170,147.56027221679688,0.85,1714729306,110.81763581093911,33.10930766707482,13376.774660918954
1278,1714752590.2945905,15216,147.04193115234375,0.85,1714729306,111.21515123515461,33.143814561272464,13467.322307930328
1279,1714752673.5322814,15259,145.92636108398438,0.85,1714729306,111.59569193491015,33.16022699102692,13553.1991125278
1280,1714752744.4247472,15305,145.72348022460938,0.85,1714729306,111.9694765824472,33.16984080722544,13637.40202532387
1281,1714752808.330218,15330,146.3194122314453,0.85,1714729306,112.34533629235476,33.18183509600567,13722.508766980798
1282,1714752834.9893155,15340,146.7178497314453,0.85,1714729306,112.72108906142819,33.193938702905314,13807.881485806662
1283,1714752885.5353184,15363,146.93247985839844,0.85,1714729306,113.09473231969024,33.20408802444965,13892.929939997788
1284,1714752947.0412886,15398,147.0534210205078,0.85,1714729306,113.46527417295255,33.21130030508188,13977.358911097625
1285,1714753008.006527,15429,146.95132446289062,0.85,1714729306,113.83032604741186,33.21322266049596,14060.461287555772
1286,1714753149.3747437,15514,143.75064086914062,0.85,1714729306,114.15621184094438,33.1782194759521,14132.434949469018
1287,1714753186.3178003,15524,144.24038696289062,0.85,1714729306,114.48359041347659,33.14520021461065,14205.096771227294
1288,1714753205.5750325,15535,144.73866271972656,0.85,1714729306,114.8125385433695,33.11422321054204,14278.470785610309
1289,1714753308.0611615,15578,156.3505401611328,0.85,1714729306,115.26376657427811,33.21564269974195,14389.014804846593
1290,1714753415.3221147,15633,154.75466918945312,0.85,1714729306,115.69238702639812,33.2886761141722,14492.864373300152
1291,1714753564.8653111,15747,149.8984375,0.85,1714729306,116.06333088441968,33.29765335324563,14579.430494819198
1292,1714753625.8317225,15771,149.8715362548828,0.85,1714729306,116.42965103553549,33.30214525070579,14664.896518555677
1293,1714753748.107033,15835,146.77294921875,0.85,1714729306,116.75815369233453,33.27062144542899,14739.40070500785
1294,1714753788.9084735,15862,149.83547973632812,0.85,1714729306,117.11595986538946,33.2674984531435,14822.87450852142
1295,1714753849.1499386,15881,150.0666046142578,0.85,1714729306,117.4721046290666,33.26306096161689,14906.126590518614
1296,1714753915.8980143,15911,149.97364807128906,0.85,1714729306,117.8231115475425,33.253927053568525,14988.109279228698
1297,1714753964.5885968,15939,149.94798278808594,0.85,1714729306,118.16977329384866,33.240966927980324,15069.057202626671
1298,1714753999.61332,15955,149.86334228515625,0.85,1714729306,118.5115104890602,33.223709574507154,15148.792996289823
1299,1714754051.837223,15980,149.8556365966797,0.85,1714729306,118.84921553426486,33.203088610909525,15227.581126414052
1300,1714754099.3318095,16001,147.83120727539062,0.85,1714729306,119.16122915258681,33.15968623853524,15298.963324593407
1301,1714754198.4456327,16050,148.08888244628906,0.85,1714729306,119.47241947343787,33.1162213931917,15370.343134199984
1302,1714754243.2750382,16073,149.6125946044922,0.85,1714729306,119.79640811005882,33.08478120649909,15445.78214355368
1303,1714754288.8364916,16100,149.73292541503906,0.85,1714729306,120.11796657415299,33.051696467978026,15520.740533320684
1304,1714754396.977996,16155,149.11538696289062,0.85,1714729306,120.42920713749461,33.01000885101575,15592.854616109722
1305,1714754521.4912157,16214,149.1994171142578,0.85,1714729306,120.73778265775597,32.966624441330026,15664.410488167217
1306,1714754657.139603,16287,151.92300415039062,0.85,1714729306,121.07201794212433,32.9471232894185,15743.94646162622
1307,1714754706.6023169,16313,149.5884552001953,0.85,1714729306,121.37743066603798,32.90204275522601,15815.025092555577
1308,1714754742.5827932,16332,149.11767578125,0.85,1714729306,121.67431951776494,32.85034084476415,15883.784923728335
1309,1714754806.868427,16347,148.85855102539062,0.85,1714729306,121.96505342752157,32.79419537123289,15950.933507624784
1310,1714754852.473497,16369,148.8033905029297,0.85,1714729306,122.2518886794871,32.73556110491915,16017.1412465556
1311,1714754901.3435645,16391,148.40110778808594,0.85,1714729306,122.5311669604399,32.6715538054045,16081.31730474664
1312,1714754970.5617826,16433,149.5821075439453,0.85,1714729306,122.81987941060447,32.6159619830347,16148.523754514188
1313,1714755020.9247751,16461,154.30722045898438,0.85,1714729306,123.15571520608553,32.60320259800557,16230.299007569045
1314,1714755066.1834772,16480,154.53684997558594,0.85,1714729306,123.49019555602558,32.58949771898886,16311.903760041421
1315,1714755137.619027,16527,155.91873168945312,0.85,1714729306,123.83561227771443,32.586813744764235,16397.15929823237
1316,1714755285.058349,16647,149.6031036376953,0.85,1714729306,124.10989929139232,32.521097935027676,16460.888913019207
1317,1714755319.7703128,16663,149.4889373779297,0.85,1714729306,124.3798772868482,32.45275450873065,16523.535149095354
1318,1714755421.3640635,16703,149.52023315429688,0.85,1714729306,124.64714574754315,32.38307174542087,16585.57427867834
1319,1714755504.2846353,16761,149.56846618652344,0.85,1714729306,124.9119185452241,32.31223352314876,16647.0678299032
1320,1714755699.9875865,16838,151.5348663330078,0.85,1714729306,125.19459353741088,32.25640671277701,16714.162025017606
1321,1714755756.7413993,16864,151.6743621826172,0.85,1714729306,125.4755747260592,32.19986660496408,16780.951262212348
1322,1714755821.2532954,16904,151.32186889648438,0.85,1714729306,125.74966649742706,32.13842335436938,16845.856879918803
1323,1714755853.3385088,16918,151.77276611328125,0.85,1714729306,126.02546646288855,32.07906159401556,16911.484389941288
1324,1714755920.0225346,16964,150.34495544433594,0.85,1714729306,126.28305698443108,32.006140251118744,16971.803495107353
1325,1714756064.142182,17039,148.38735961914062,0.85,1714729306,126.51704588240285,31.9169078546915,17025.251905814897
1326,1714756112.1796792,17058,148.16220092773438,0.85,1714729306,126.74604027897233,31.825105426474266,17077.396061805077
1327,1714756160.3806057,17082,148.3999786376953,0.85,1714729306,126.97499492469055,31.734130335375536,17129.704364267793
1328,1714756195.4078238,17096,149.0663299560547,0.85,1714729306,127.20844047229207,31.647091843247328,17183.525749527606
1329,1714756242.1044688,17120,151.1939239501953,0.85,1714729306,127.46175833142796,31.575313879301802,17243.500283515776
1330,1714756374.8664267,17213,146.25653076171875,0.85,1714729306,127.6601441861795,31.467138427451065,17287.293214448506
1331,1714756482.053937,17289,142.91607666015625,0.85,1714729306,127.82108687778648,31.339625495231484,17320.402376800004
1332,1714756510.5084872,17299,143.6863555908203,0.85,1714729306,127.98836584897441,31.216203206038287,17355.473135291595
1333,1714756583.088347,17339,142.3107452392578,0.85,1714729306,128.13929496182345,31.08581436842301,17386.006768261246
1334,1714756622.514983,17354,143.10791015625,0.85,1714729306,128.2969492854171,30.959534359494704,17418.599963701618
1335,1714756654.5888257,17372,143.34967041015625,0.85,1714729306,128.45540508999937,30.834572727216646,17451.56197210585
