,Wall time,Step,Value,goal,timestamp,goal_power_alg,goal_power_timestamp,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
4335,1750464875.957354,91802,107.96215057373048,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.23688488307059,18.40108196952718,11838.34929707419
4336,1750464971.342501,91854,106.10465240478516,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.22530849194337,18.307105080058058,11832.41687760471
4337,1750465466.569611,92137,105.50423431396484,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.20771549895134,18.21410215132608,11825.247779683035
4338,1750466362.89435,92641,113.4555206298828,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.27156700864982,18.131719073466318,11835.948325050353
4339,1750466757.505793,92822,122.2676010131836,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.42479025183181,18.102088971511535,11867.771185782578
4340,1750467229.084248,93113,120.90531158447266,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.56249865317128,18.060580520463468,11895.875685249615
4341,1750467435.3291886,93200,126.96345520019533,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.76064376878747,18.074220844595178,11939.033804602714
4342,1750467882.5418663,93456,127.95730590820312,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.96687159469197,18.096555954770807,11984.330699368853
4343,1750468034.4953077,93554,124.2840347290039,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.13345076638758,18.078879898578528,12019.689073033993
4344,1750468369.5889692,93743,119.68359375,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.25133961289482,18.023984257045363,12043.216536484511
4345,1750468452.9333155,93775,119.6526870727539,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.36768569934512,17.968530507795624,12066.423392441631
4346,1750468653.769945,93887,119.73809814453124,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.4836923727176,17.913285582414147,12089.597311175552
4347,1750468713.7590983,93919,115.15511322021484,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.55174378696537,17.8343402307019,12101.54477065541
4348,1750468854.7034075,93985,120.0556640625,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.6690652959867,17.780950804790802,12125.127963825811
4349,1750468929.7534482,94029,118.60794067382812,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.77040575553568,17.718353166620567,12144.941207160962
4350,1750469139.4220643,94150,115.61083221435548,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.84013958703855,17.64124751723267,12157.389599290304
4351,1750470434.5830052,94786,117.36334228515624,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.92701137530165,17.572071911803146,12173.871518428674
4352,1750470525.4563248,94842,116.02764129638672,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,108.99936982907681,17.49690688969281,12187.004373842441
4353,1750470587.079013,94862,121.1608657836914,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.12327707546176,17.450541493236052,12212.41099809515
4354,1750470871.0121007,95002,126.99774932861328,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.3053565883165,17.45442890354079,12252.318067247785
4355,1750471070.2683144,95114,121.74032592773438,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.43200261118602,17.410360239185213,12278.483839152826
4356,1750471313.6421914,95253,124.47079467773438,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.58513942233847,17.387493738744514,12311.22772072824
4357,1750471372.9197505,95279,128.10064697265625,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.77364442932038,17.398828774269443,12352.972254011209
4358,1750471466.682382,95346,125.08932495117188,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,109.9295440287715,17.3785226791444,12386.517700883149
4359,1750471762.3573124,95481,122.05431365966795,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.05294097961233,17.33284492187032,12412.07733134764
4360,1750471820.005973,95512,125.36136627197266,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.20871121450041,17.313077651001542,12445.702685310758
4361,1750471884.045663,95544,123.3660125732422,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.34256929223389,17.275562046151155,12473.927642021854
4362,1750472006.1506236,95610,123.22311401367188,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.47358898397533,17.23623882363693,12501.501791785766
4363,1750472228.821657,95712,126.3936004638672,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.63549801309917,17.222969659655103,12536.844104503869
4364,1750472325.538651,95768,129.16921997070312,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,110.82395682251823,17.236278078186178,12579.038687787945
4365,1750473129.425627,96186,134.34423828125,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.0630808259964,17.310820133298215,12634.672416249212
4366,1750473179.7975397,96210,135.92050170898438,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.31575702024277,17.403084905659203,12694.065125223311
4367,1750474015.3439884,96725,118.74309539794922,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.3912436106899,17.330509870698148,12708.35572551443
4368,1750474074.4964402,96760,118.4846420288086,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.46332448072019,17.256963489079677,12721.875493157746
4369,1750474930.5130816,97225,109.8888168334961,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.44732741872133,17.169789536310134,12715.30846149686
4370,1750475438.9028227,97468,122.26813507080078,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.55724967433926,17.11694996292876,12738.009930936274
4371,1750475581.7654386,97565,120.70250701904295,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.65013627981047,17.05458550637573,12756.611818094532
4372,1750475813.6953137,97657,121.94589233398438,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.75469188262278,16.999287810611655,12778.086943847962
4373,1750475985.8663208,97757,123.24424743652344,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.87135266710513,16.952134198124057,12802.574401439018
4374,1750476049.8362708,97798,121.3215103149414,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.96729140430618,16.892574011372172,12822.033401146504
4375,1750476625.0227745,98089,124.72086334228516,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.09674697358479,16.85540967017355,12849.785517209271
4376,1750476662.0936463,98108,126.70635223388672,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.24501995257766,16.8337873909462,12882.320902078138
4377,1750476759.408135,98153,125.0695343017578,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.37515664106607,16.797648768327974,12910.336834248246
4378,1750477072.8247886,98326,122.86849975585938,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.4816220792721,16.745428313271457,12932.524674979106
4379,1750477210.6953664,98384,120.884521484375,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.56686543443148,16.681638000413898,12949.576240110258
4380,1750477348.3275428,98462,121.10385131835938,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.65345651826713,16.61895276178967,12966.990856411701
4381,1750477978.9010985,98873,115.9644012451172,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.68703479632487,16.53779930086413,12971.866616903793
4382,1750478345.9326687,99054,109.1627960205078,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.65129843555434,16.45753334782253,12961.165443111018
4383,1750478437.6520038,99089,105.68373107910156,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.58065605824905,16.388827924857573,12942.99779925636
4384,1750478667.7839303,99209,102.05713653564452,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.47397559571935,16.339752721888633,12917.38270531894
4385,1750479212.297743,99518,96.22748565673828,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.3093020698909,16.33838934953613,12880.322297963037
4386,1750479385.5025296,99632,97.7416534423828,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.16166525744937,16.321066599811598,12846.616368279612
4387,1750480197.402411,100084,98.63514709472656,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.02459829626143,16.29485703355759,12815.03298918282
4388,1750480573.7772405,100281,100.08246612548828,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.90360235783479,16.256367931355264,12786.685718980003
4389,1750480629.5627203,100304,101.88429260253906,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.80210155847666,16.205056046846384,12762.313754373363
4390,1750480760.3345957,100366,108.95059204101562,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.77321805936708,16.125305524639277,12753.277753609786
4391,1750480852.9569614,100427,107.62825012207033,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.7312382898868,16.048824379834485,12741.434373766237
4392,1750481307.195263,100655,113.0352020263672,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.74444299935868,15.967883684412678,12741.793850595855
4393,1750481737.8482304,100898,128.00253295898438,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,111.90906121273669,15.970419355012421,12778.692275891002
4394,1750481782.2645893,100920,128.20680236816406,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.07406023064053,15.973335785279767,12815.74243269054
4395,1750482341.694344,101206,137.3637237548828,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.33006209432433,16.093668398045153,12877.049012620997
4396,1750482609.9823363,101358,143.8741912841797,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.64933737572383,16.321923993496203,12956.278414039116
4397,1750482758.9889295,101412,143.93853759765625,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,112.96599389484135,16.539865795547396,13034.882937184051
4398,1750482980.5761826,101523,141.81166076660156,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,113.25788597152594,16.708569584883875,13106.525032312078
4399,1750483677.221964,101881,131.48355102539062,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,113.44229126670453,16.72409610030918,13148.848838212203
