,Wall time,Step,Value,timestamp,goal_power_alg,goal,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
83,1722528970.1819549,17678,108.0658721923828,1722503801,0.9,0.9,107.46404728833434,16.09007914009415,11807.412106323853
84,1722529116.36433,17798,103.4333724975586,1722503801,0.9,0.9,107.39387658001445,15.957161743105031,11788.07573777899
85,1722529252.0108418,17877,103.04244232177734,1722503801,0.9,0.9,107.31867886788362,15.827939783576086,11767.822511740442
86,1722529416.8461988,17981,109.280517578125,1722503801,0.9,0.9,107.35233659626505,15.692674908786785,11770.784218470653
87,1722529847.6782062,18304,105.29845428466795,1722503801,0.9,0.9,107.31735011877572,15.559776801356403,11759.12029062392
88,1722529952.9268222,18385,102.35031127929688,1722503801,0.9,0.9,107.2333310331341,15.440135123163799,11737.385057083278
89,1722530019.311099,18430,101.26541900634766,1722503801,0.9,0.9,107.13307515254131,15.328422066610463,11712.456314692214
90,1722530438.1122508,18735,105.94149017333984,1722503801,0.9,0.9,107.11319271527236,15.199899930782754,11704.273011564886
91,1722530588.5659282,18855,106.04672241210938,1722503801,0.9,0.9,107.09551608552933,15.073178177517851,11696.650265997072
92,1722530637.1331167,18884,106.26318359375,1722503801,0.9,0.9,107.0818103781866,14.948117742460594,11689.960337912378
93,1722530843.5569074,19011,104.28678131103516,1722503801,0.9,0.9,107.03608139379298,14.828823066836971,11676.616713686231
94,1722531451.743507,19411,113.4823760986328,1722503801,0.9,0.9,107.1408814850238,14.729852021653652,11696.13702596773
95,1722531649.1964784,19566,115.28407287597656,1722503801,0.9,0.9,107.27244548010556,14.64606387090994,11721.884746192994
96,1722532061.074362,19844,122.22956085205078,1722503801,0.9,0.9,107.5126188187912,14.64977403501177,11773.5790845516
97,1722532406.6307378,20053,129.9116668701172,1722503801,0.9,0.9,107.87012514049886,14.803292026978626,11855.101352662892
98,1722532438.8884804,20072,135.12525939941406,1722503801,0.9,0.9,108.30256074094945,15.078693895706271,11956.811672647455
99,1722533137.038979,20556,115.38343048095705,1722503801,0.9,0.9,108.41425208107597,14.98487487585799,11978.196529344204
100,1722533395.812064,20721,115.44063568115234,1722503801,0.9,0.9,108.52444774056538,14.892110577334877,11999.330714842275
101,1722533716.508026,20930,118.33670043945312,1722503801,0.9,0.9,108.6774649203002,14.82534211611048,12030.582150362798
102,1722534084.9831226,21182,117.84587860107422,1722503801,0.9,0.9,108.819646318234,14.753314935526964,12059.375726412381
103,1722534218.5251615,21231,117.88902282714844,1722503801,0.9,0.9,108.95952147686742,14.681523056760273,12087.724439734118
104,1722534461.7012813,21395,109.9226531982422,1722503801,0.9,0.9,108.97429554572275,14.568353987015323,12087.634027577515
105,1722534549.3908424,21458,108.45406341552734,1722503801,0.9,0.9,108.9663577703022,14.456327819386042,12082.652539747054
106,1722534652.8972564,21531,105.1578140258789,1722503801,0.9,0.9,108.90855043036498,14.353248621512435,12067.088102834301
107,1722534749.4275854,21580,105.67317199707033,1722503801,0.9,0.9,108.85969576922889,14.24942257356567,12053.479406649112
108,1722535062.6645644,21775,128.5836181640625,1722503801,0.9,0.9,109.15601843467401,14.345572223211587,12120.831802922272
109,1722535280.2172346,21891,129.85218811035156,1722503801,0.9,0.9,109.46539352205664,14.459409952573225,12191.746915115295
110,1722535350.1470666,21937,128.586181640625,1722503801,0.9,0.9,109.74981171901501,14.538236147044612,12256.38148262648
111,1722536529.7583969,22744,127.27021026611328,1722503801,0.9,0.9,110.00916014052063,14.585524772884538,12314.752847723143
112,1722537023.4232285,23063,128.27285766601562,1722503801,0.9,0.9,110.27821916287819,14.64506384609105,12375.763516791876
113,1722537289.7303617,23214,139.60504150390625,1722503801,0.9,0.9,110.70822432533575,14.962147541953607,12480.17679233605
114,1722537365.4368446,23272,138.26718139648438,1722503801,0.9,0.9,111.11043281956047,15.218818794284918,12577.140726843341
115,1722537460.759466,23328,139.8199462890625,1722503801,0.9,0.9,111.52751679804514,15.49666384381343,12678.533593426395
116,1722538123.1545663,23811,124.7549057006836,1722503801,0.9,0.9,111.71881455098638,15.46530064603772,12720.26904875002
117,1722538864.9877446,24323,119.50546264648438,1722503801,0.9,0.9,111.83092669967431,15.381323797167058,12742.741288261226
118,1722538935.6442358,24366,120.21905517578124,1722503801,0.9,0.9,111.951170131614,15.303017472408081,12767.246837598412
119,1722539003.8866527,24391,120.26337432861328,1722503801,0.9,0.9,112.06981089036424,15.225195766437858,12791.44909912836
120,1722539291.6127677,24574,109.09679412841795,1722503801,0.9,0.9,112.02755733594496,15.120283876626326,12778.796587168203
121,1722539669.6658862,24809,112.70606994628906,1722503801,0.9,0.9,112.03716014417294,15.01266790786018,12777.70545088275
122,1722540263.1684916,25183,118.3663101196289,1722503801,0.9,0.9,112.1263644759519,14.924885810883625,12795.073827061924
123,1722540301.3257084,25205,121.87651824951172,1722503801,0.9,0.9,112.26322479951766,14.86406533929791,12823.972080797954
124,1722540471.5146463,25308,129.2692108154297,1722503801,0.9,0.9,112.50097358778189,14.895035846153286,12878.33115105699
