,Wall time,Step,Value,timestamp,goal_power_alg,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
222,1715990987.5847156,66885,77.71952819824219,1715850724,0.9,65.511206709682,16.578272664364263,4566.557329092691
223,1715991130.3198602,66987,79.68474578857422,1715850724,0.9,65.66961716109016,16.552877181091585,4586.496361056449
224,1715991278.6378684,67106,79.62367248535156,1715850724,0.9,65.82539128691789,16.52568369701837,4606.0803597297445
225,1715991670.8051617,67373,83.63875579833984,1715850724,0.9,66.02401719260291,16.539952627146626,4632.74087915738
226,1715991791.75535,67445,90.04808807373047,1715850724,0.9,66.29158706814991,16.640781179798516,4671.490114288037
227,1715992345.9682753,67874,85.0722885131836,1715850724,0.9,66.5005208490663,16.665405292305053,4700.055006753892
228,1715992507.0097675,67973,85.37493896484375,1715850724,0.9,66.71026127936734,16.69086219980872,4728.843840934461
229,1715992755.6478329,68156,77.60865783691406,1715850724,0.9,66.83123424875694,16.637335981597765,4743.214819776791
230,1715992996.0397463,68326,74.85957336425781,1715850724,0.9,66.92025145320005,16.566216391879944,4752.759580102115
231,1715993303.1202204,68540,74.763671875,1715850724,0.9,67.00712379657766,16.4946823058276,4762.029183860066
232,1715993811.3511405,68887,80.79646301269531,1715850724,0.9,67.15968795728338,16.466764551605714,4781.578021317693
233,1715994123.0956151,69074,87.91212463378906,1715850724,0.9,67.38904725850581,16.519390733096614,4814.173960601848
234,1715994673.142878,69462,98.04974365234376,1715850724,0.9,67.72755808726444,16.739215198314557,4867.223449919264
235,1715994811.9737742,69557,97.8995590209961,1715850724,0.9,68.0603271897618,16.94396228622436,4919.305995134422
236,1715994853.9358802,69576,101.23454284667967,1715850724,0.9,68.4258317980837,17.20453828836776,4978.090594975556
237,1715995009.786998,69684,102.71599578857422,1715850724,0.9,68.80324751781299,17.48175821724405,5039.498739363619
238,1715995320.8739755,69861,107.05842590332033,1715850724,0.9,69.22388090741572,17.83981761298433,5110.20478034862
239,1715995558.3293295,70029,106.88704681396484,1715850724,0.9,69.6375930108527,18.1731528776455,5179.657845859436
240,1715995856.7851331,70227,106.8023910522461,1715850724,0.9,70.0454292522501,18.48559067955387,5248.079221903983
241,1715995895.539335,70240,104.90737915039062,1715850724,0.9,70.42762252257567,18.74098547621659,5311.27455080217
242,1715996034.1874137,70335,100.24591064453124,1715850724,0.9,70.7542073636797,18.89612538709167,5363.221414307276
243,1715996160.7887683,70430,95.17901611328124,1715850724,0.9,71.02146555085598,18.96438522694825,5403.696476027515
244,1715997045.0618515,71056,84.71382904052734,1715850724,0.9,71.17114746182595,18.91432956406829,5423.084093891162
245,1715997113.9670477,71101,87.97486877441406,1715850724,0.9,71.35467104961062,18.892047477160162,5448.398538477413
246,1715997447.3863482,71343,86.7854232788086,1715850724,0.9,71.523044439367,18.857268401878034,5471.142457456134
247,1715998322.5048325,71970,69.97083282470703,1715850724,0.9,71.50612283306876,18.75480197694576,5464.868199812366
248,1715998696.177111,72250,64.03352355957031,1715850724,0.9,71.42473284908951,18.66850797992193,5450.005652760215
249,1715999629.0143492,72877,65.6432113647461,1715850724,0.9,71.36181783669723,18.576307044176485,5437.588228357479
250,1715999870.270862,73050,65.72071838378906,1715850724,0.9,71.30048500969913,18.48427052385526,5425.427419417395
251,1715999984.182072,73127,61.91730880737305,1715850724,0.9,71.19855540411999,18.409375644833446,5408.13940326613
252,1716000032.86124,73154,66.44873809814453,1715850724,0.9,71.14700254747821,18.3157642989127,5397.363193344196
