,Step,goal_power_replay,mean,std,y_upper,y_lower,agent
33,2317,0.85,20.442584178729945,12.577648222080201,45.597880622890344,-4.712712265430458,pretrain on lower goals
34,2399,0.85,20.478734597455556,12.360028015682488,45.19879062882053,-4.24132143390942,pretrain on lower goals
35,2476,0.85,20.5352366187498,12.1538134381704,44.8428634950906,-3.7723902575910024,pretrain on lower goals
36,2564,0.85,20.655578070407273,11.970672849512896,44.59692376943306,-3.285767628618519,pretrain on lower goals
37,2624,0.85,20.758127574802195,11.7904577386301,44.339043052062394,-2.8227879024580034,pretrain on lower goals
38,2719,0.85,20.80937337198853,11.606913924937137,44.023201221862806,-2.404454477885743,pretrain on lower goals
39,2894,0.85,20.9169591841841,11.443213110705813,43.803385405595726,-1.969467037227524,pretrain on lower goals
40,3014,0.85,21.02679726849648,11.287017174923694,43.60083161834387,-1.5472370813509073,pretrain on lower goals
41,3094,0.85,21.185724488224075,11.157502258624065,43.50072900547221,-1.1292800290240557,pretrain on lower goals
42,3173,0.85,21.361658191506088,11.043334519525912,43.44832723055791,-0.725010847545736,pretrain on lower goals
43,3293,0.85,21.529328275526908,10.930664409630126,43.39065709478716,-0.33200054373334353,pretrain on lower goals
44,3393,0.85,21.729892690812104,10.844005944557827,43.41790457992776,0.041880801696450476,pretrain on lower goals
45,3492,0.85,21.8815599807089,10.733476302589507,43.34851258588792,0.41460737552988647,pretrain on lower goals
46,3592,0.85,22.0260087361493,10.624353333570697,43.2747154032907,0.7773020690079058,pretrain on lower goals
47,3650,0.85,22.11754684847285,10.497509293013794,43.11256543450044,1.122528262445261,pretrain on lower goals
48,3745,0.85,22.21840928640416,10.37843614534771,42.97528157709958,1.461536995708741,pretrain on lower goals
49,3846,0.85,22.319203665433736,10.263598079669801,42.84639982477334,1.7920075060941336,pretrain on lower goals
50,3893,0.85,22.4199977115241,10.1528288459678,42.7256554034597,2.1143400195885,pretrain on lower goals
51,3955,0.85,22.600244367151227,10.090859086819673,42.78196254079057,2.4185261935118803,pretrain on lower goals
52,4036,0.85,22.768971127029964,10.024647873727579,42.81826687448512,2.719675379574806,pretrain on lower goals
53,4134,0.85,22.884737161211184,9.93068954359758,42.746116248406345,3.0233580740160235,pretrain on lower goals
54,4218,0.85,23.072872154268676,9.887340446758168,42.84755304778501,3.29819126075234,pretrain on lower goals
55,4247,0.85,23.320036422581268,9.903207721764318,43.1264518661099,3.5136209790526323,pretrain on lower goals
56,4310,0.85,23.62631218069482,9.993256895067752,43.61282597083033,3.639798390559317,pretrain on lower goals
57,4377,0.85,23.96817931786915,10.134696067829443,44.237571453528034,3.698787182210264,pretrain on lower goals
58,4451,0.85,24.335814081950915,10.315151677546545,44.966117437044005,3.705510726857824,pretrain on lower goals
59,4514,0.85,24.768301996897016,10.60431827388216,45.97693854466134,3.5596654491326944,pretrain on lower goals
60,4634,0.85,25.14821792800079,10.795850902064403,46.73991973212959,3.556516123871983,pretrain on lower goals
